Data Entry Fields,Fields to Export,,,,,,,,,TIER CALCULATION SECTION,,,,,,,
,,,,,,,,,,Global MAX HP:,450,Anything above this limit will show as red text,,,,,
,,,,,,,,,,Global Armor Reduction per point:,0.04,Base MC setting is 0.04,,,,,
Section to Export as JSON Format,,,,,,,,,,,Global Tiers:,0,1,2,3,4,5
,Hard-coded to 0,from tier calc. section,,,,,,,,list used to calc single maxTier field,Armor Addition (Per Tier):,0,2,4,6,8,14
entity,minTier,maxTier,presetAffixes,affixList,affixPermission,HP,Armor,Poison Immunity?,Notes,maxTier(s) list,HP & Atk Stat multiplier (per Tier):,1,1,2,3,5,7
minecraft:blaze,0,5,,"champions:plagued, champions:reflective",BLACKLIST,20,0,,,5,,20,21.6,46.4,74.4,132,218.4
minecraft:bogged,0,5,,"champions:plagued, champions:reflective",BLACKLIST,16,0,,,5,,16,17.28,37.12,59.52,105.6,174.72
minecraft:breeze,0,5,,"champions:plagued, champions:reflective",BLACKLIST,30,0,,,5,,30,32.4,69.6,111.6,198,327.6
minecraft:cave_spider,0,5,,"champions:plagued, champions:reflective",BLACKLIST,12,0,,,5,,12,12.96,27.84,44.64,79.2,131.04
minecraft:creeper,0,5,,"champions:knocking, champions:wounding, champions:paralyzing, champions:molten, champions:plagued, champions:reflective",BLACKLIST,20,0,,,5,,20,21.6,46.4,74.4,132,218.4
minecraft:drowned,0,5,,"champions:plagued, champions:reflective",BLACKLIST,20,2,,,5,,21.6,23.2,49.6,79.2,140,229.6
minecraft:elder_guardian,0,3,,"champions:plagued, champions:reflective",BLACKLIST,80,0,,,3,,80,86.4,185.6,297.6,528,873.6
minecraft:enderman,0,5,,"champions:plagued, champions:reflective",BLACKLIST,40,0,,,5,,40,43.2,92.8,148.8,264,436.8
minecraft:endermite,0,5,,"champions:plagued, champions:reflective",BLACKLIST,8,0,,,5,,8,8.64,18.56,29.76,52.8,87.36
minecraft:evoker,0,5,,"champions:plagued, champions:reflective",BLACKLIST,24,0,,,5,,24,25.92,55.68,89.28,158.4,262.08
minecraft:ghast,0,5,,"champions:plagued, champions:reflective",BLACKLIST,10,0,,,5,,10,10.8,23.2,37.2,66,109.2
minecraft:giant,0,3,,"champions:plagued, champions:reflective",BLACKLIST,100,0,,,3,,100,108,232,372,660,1092
minecraft:guardian,0,5,,"champions:plagued, champions:reflective",BLACKLIST,30,0,,,5,,30,32.4,69.6,111.6,198,327.6
minecraft:husk,0,5,,"champions:plagued, champions:reflective",BLACKLIST,20,2,,,5,,21.6,23.2,49.6,79.2,140,229.6
minecraft:illusioner,0,5,,"champions:plagued, champions:reflective",BLACKLIST,32,0,,,5,,32,34.56,74.24,119.04,211.2,349.44
minecraft:magma_cube,0,5,,"champions:plagued, champions:reflective",BLACKLIST,16,0,,,5,,16,17.28,37.12,59.52,105.6,174.72
minecraft:phantom,0,5,,"champions:plagued, champions:reflective",BLACKLIST,20,0,,,5,,20,21.6,46.4,74.4,132,218.4
minecraft:piglin,0,5,,"champions:plagued, champions:reflective",BLACKLIST,16,0,,,5,,16,17.28,37.12,59.52,105.6,174.72
minecraft:piglin_brute,0,4,,"champions:plagued, champions:reflective",BLACKLIST,50,0,,,4,,50,54,116,186,330,546
minecraft:pillager,0,5,,"champions:plagued, champions:reflective",BLACKLIST,24,0,,,5,,24,25.92,55.68,89.28,158.4,262.08
minecraft:ravager,0,3,,"champions:plagued, champions:reflective",BLACKLIST,100,0,,,3,,100,108,232,372,660,1092
minecraft:shulker,0,5,,"champions:plagued, champions:reflective",BLACKLIST,30,0,,,5,,30,32.4,69.6,111.6,198,327.6
minecraft:silverfish,0,5,,"champions:plagued, champions:infested, champions:reflective",BLACKLIST,8,0,,Set to 2; possible summon,5,,8,8.64,18.56,29.76,52.8,87.36
minecraft:skeleton,0,5,,"champions:plagued, champions:reflective",BLACKLIST,20,0,,,5,,20,21.6,46.4,74.4,132,218.4
minecraft:slime,0,5,,"champions:plagued, champions:reflective",BLACKLIST,16,0,,,5,,16,17.28,37.12,59.52,105.6,174.72
minecraft:spider,0,5,,"champions:plagued, champions:reflective",BLACKLIST,16,0,,,5,,16,17.28,37.12,59.52,105.6,174.72
minecraft:stray,0,5,,"champions:plagued, champions:reflective",BLACKLIST,20,0,,,5,,20,21.6,46.4,74.4,132,218.4
minecraft:vex,0,5,,"champions:plagued, champions:reflective",BLACKLIST,14,0,,"Set to 2, summon",5,,14,15.12,32.48,52.08,92.4,152.88
